Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 103,Ordinary 3+2 Non AC Seater,4.2,17:18,02:15,08h 57m,"35 Seats available
12 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 181,Ordinary 3+2 Non AC Seater,3.8,17:50,04:15,10h 25m,"37 Seats available
13 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 104,A/C Executive (2+3),2.8,18:20,04:30,10h 10m,"43 Seats available
15 Window",INR 612
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,4.2,19:25,04:57,09h 32m,"27 Seats available
9 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1711,Ordinary 3+2 Non AC Seater,4.2,20:00,05:30,09h 30m,"37 Seats available
13 Window",INR 507
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,4.5,20:00,05:00,09h 00m,"17 Seats available
5 Window",INR 892
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,4.6,21:00,06:00,09h 00m,"16 Seats available
3 Window",INR 892
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,A/C Executive (2+3),3.3,21:20,06:52,09h 32m,"44 Seats available
16 Window",INR 612
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,4.2,21:30,05:45,08h 15m,"27 Seats available
9 Window",INR 505
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,4.0,21:30,06:00,08h 30m,"18 Seats available
5 Window",INR 892
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,4.5,21:45,06:15,08h 30m,"37 Seats available
13 Window",INR 507
